EntryIdLemma,HeadPosShortNameGyl,HeadWord,HeadWordExact,IdBook,IdEntry,PrioritizeWhenLemma,SenseCount,TimeStamp,Unbound

 
Es2Csv.EntryIdLemma,proprium,Achilleus,Achilleus,dan-sko-ret,danskoret0000257,System.Collections.Generic.List`1[Es2Csv.PrioritizeWhenLemma],0,6/13/2016 11:46:04 AM,False

Es2Csv.EntryIdLemma,sb.,acidofiluskultur,acidofiluskultur,dan-sko-ret,danskoret0000259,System.Collections.Generic.List`1[Es2Csv.PrioritizeWhenLemma],0,6/13/2016 11:46:04 AM,False

Es2Csv.EntryIdLemma,sb.,a conto-betaling,a conto-betaling,dan-sko-ret,danskoret0088904,System.Collections.Generic.List`1[Es2Csv.PrioritizeWhenLemma],0,6/13/2016 11:46:04 AM,False

Es2Csv.EntryIdLemma,adv.,a conto,a conto,dan-sko-ret,danskoret0000260,System.Collections.Generic.List`1[Es2Csv.PrioritizeWhenLemma],0,6/13/2016 11:46:04 AM,False

Es2Csv.EntryIdLemma,sb.,acontobeløb,acontobeløb,dan-sko-ret,danskoret0000261,System.Collections.Generic.List`1[Es2Csv.PrioritizeWhenLemma],0,6/13/2016 11:46:04 AM,False

Es2Csv.EntryIdLemma,sb.,a conto-beløb,a conto-beløb,dan-sko-ret,danskoret0088878,System.Collections.Generic.List`1[Es2Csv.PrioritizeWhenLemma],0,6/13/2016 11:46:04 AM,False

Es2Csv.EntryIdLemma,,act.,act.,dan-sko-ret,danskoret0000265,System.Collections.Generic.List`1[Es2Csv.PrioritizeWhenLemma],0,6/13/2016 11:46:04 AM,False

Es2Csv.EntryIdLemma,sb.,acontobetaling,acontobetaling,dan-sko-ret,danskoret0000262,System.Collections.Generic.List`1[Es2Csv.PrioritizeWhenLemma],0,6/13/2016 11:46:04 AM,False

Es2Csv.EntryIdLemma,proprium,Acorerne,Acorerne,dan-sko-ret,danskoret0000263,System.Collections.Generic.List`1[Es2Csv.PrioritizeWhenLemma],0,6/13/2016 11:46:04 AM,False

Es2Csv.EntryIdLemma,sb.,acre,acre,dan-sko-ret,danskoret0000264,System.Collections.Generic.List`1[Es2Csv.PrioritizeWhenLemma],0,6/13/2016 11:46:04 AM,False

Es2Csv.EntryIdLemma,,cand.act.,cand.act.,dan-sko-ret,danskoret0000266,System.Collections.Generic.List`1[Es2Csv.PrioritizeWhenLemma],0,6/13/2016 11:46:04 AM,True

Es2Csv.EntryIdLemma,sb.,action,action,dan-sko-ret,danskoret0000267,System.Collections.Generic.List`1[Es2Csv.PrioritizeWhenLemma],1,6/13/2016 11:46:04 AM,False

Es2Csv.EntryIdLemma,sb.,actionfilm,actionfilm,dan-sko-ret,danskoret0000268,System.Collections.Generic.List`1[Es2Csv.PrioritizeWhenLemma],0,6/13/2016 11:46:04 AM,False

Es2Csv.EntryIdLemma,sb.,actionspil,actionspil,dan-sko-ret,danskoret0000269,System.Collections.Generic.List`1[Es2Csv.PrioritizeWhenLemma],0,6/13/2016 11:46:04 AM,False

